id,question,domain_label,expected_fact
1,"What is the patient ID of John Smith?",domain,"patient_id_of_John_Smith"
2,"When is Sarah Johnson’s next appointment?",domain,"next_appointment_of_Sarah_Johnson"
3,"What treatment is assigned to appointment 12?",domain,"treatment_for_appointment_12"
4,"How much does billing record 7 charge?",domain,"billing_amount_record_7"
5,"List all appointments for patient Emily Brown.",domain,"appointments_for_Emily_Brown"
6,"What is the capital of France?",non-domain,"N/A"
7,"Who won the World Cup in 2022?",non-domain,"N/A"
8,"What is the average temperature in July?",non-domain,"N/A"
9,"Define machine learning.",non-domain,"N/A"
10,"Translate hello to Spanish.",non-domain,"N/A"
11,"Give me the treatment name for treatment ID 5.",domain,"treatment_name_id_5"
12,"Show all billing records for patient Adam Lee.",domain,"billing_records_Adam_Lee"
13,"What doctor is assigned to appointment 9?",domain,"doctor_for_appointment_9"
14,"How many treatments does patient Nora White have?",domain,"treatments_count_Nora_White"
15,"What is Bitcoin?",non-domain,"N/A"
